"Y2_STATEFIPS","Y2_COUNTYFIPS","Y1_STATEFIPS","Y1_COUNTYFIPS","Y1_STATE","Y1_COUNTYNAME.x","NO_OF_RETURN(INFLOW)","NO_OF_INDIVIDUALS(INFLOW)","AGI_INFLOW","YEAR.x","FIPS","Y1_COUNTYNAME.y","STATEPOSTAL","STATEFIPS","PURPOSE","YEAR.y","QUARTER","SUPPRESSED","VALUE"
"01","001","96","000","AL","Autauga County ",1950,4627,86731,2013,"01001","Autauga County","AL","01","Purchase",2013,5,0,255
"01","003","96","000","AL","Baldwin County ",6036,12340,370999,2013,"01003","Baldwin County","AL","01","Purchase",2013,5,0,1704
"01","005","96","000","AL","Barbour County ",583,1341,17366,2013,"01005","Barbour County","AL","01","Purchase",2013,5,0,46
"01","007","96","000","AL","Bibb County ",459,1055,16425,2013,"01007","Bibb County","AL","01","Purchase",2013,5,0,41
"01","009","96","000","AL","Blount County ",1230,2779,44021,2013,"01009","Blount County","AL","01","Purchase",2013,5,0,152
"01","011","96","000","AL","Bullock County ",196,421,4545,2013,"01011","Bullock County","AL","01","Purchase",2013,5,1,NA
"01","013","96","000","AL","Butler County ",368,796,12162,2013,"01013","Butler County","AL","01","Purchase",2013,5,0,16
"01","015","96","000","AL","Calhoun County ",2247,4827,79819,2013,"01015","Calhoun County","AL","01","Purchase",2013,5,0,307
"01","017","96","000","AL","Chambers County ",982,2176,28723,2013,"01017","Chambers County","AL","01","Purchase",2013,5,0,68
"01","019","96","000","AL","Cherokee County ",495,1102,18171,2013,"01019","Cherokee County","AL","01","Purchase",2013,5,0,75
"01","021","96","000","AL","Chilton County ",990,2319,32405,2013,"01021","Chilton County","AL","01","Purchase",2013,5,0,96
"01","023","96","000","AL","Choctaw County ",189,387,5565,2013,"01023","Choctaw County","AL","01","Purchase",2013,5,0,13
"01","025","96","000","AL","Clarke County ",462,1011,14900,2013,"01025","Clarke County","AL","01","Purchase",2013,5,0,47
"01","027","96","000","AL","Clay County ",280,640,10322,2013,"01027","Clay County","AL","01","Purchase",2013,5,0,24
"01","029","96","000","AL","Cleburne County ",386,1012,11628,2013,"01029","Cleburne County","AL","01","Purchase",2013,5,0,23
"01","031","96","000","AL","Coffee County ",1950,4338,77163,2013,"01031","Coffee County","AL","01","Purchase",2013,5,0,149
"01","033","96","000","AL","Colbert County ",1291,2798,50532,2013,"01033","Colbert County","AL","01","Purchase",2013,5,0,245
"01","035","96","000","AL","Conecuh County ",241,526,6178,2013,"01035","Conecuh County","AL","01","Purchase",2013,5,1,NA
"01","037","96","000","AL","Coosa County ",313,713,9892,2013,"01037","Coosa County","AL","01","Purchase",2013,5,0,24
"01","039","96","000","AL","Covington County ",711,1542,26204,2013,"01039","Covington County","AL","01","Purchase",2013,5,0,68
"01","041","96","000","AL","Crenshaw County ",320,731,10958,2013,"01041","Crenshaw County","AL","01","Purchase",2013,5,1,NA
"01","043","96","000","AL","Cullman County ",1433,3086,89174,2013,"01043","Cullman County","AL","01","Purchase",2013,5,0,282
"01","045","96","000","AL","Dale County ",2162,5070,77543,2013,"01045","Dale County","AL","01","Purchase",2013,5,0,102
